cell_id,west,south,east,north,occurrence_count
gh5-00138,-169.7607421875,-14.3701171875,-169.716796875,-14.326171875,1
gh5-00139,-169.7607421875,-14.4140625,-169.716796875,-14.3701171875,1
gh5-00140,-169.8046875,-14.4140625,-169.7607421875,-14.3701171875,1
gh5-00141,-169.892578125,-14.23828125,-169.8486328125,-14.1943359375,1
gh5-00142,-170.1123046875,-14.23828125,-170.068359375,-14.1943359375,1
gh5-00143,-170.1123046875,-14.58984375,-170.068359375,-14.5458984375,1
gh5-00144,-169.98046875,-14.94140625,-169.9365234375,-14.8974609375,1
gh5-00145,-170.4638671875,-14.2822265625,-170.419921875,-14.23828125,1
gh5-00146,-170.4638671875,-14.3701171875,-170.419921875,-14.326171875,1
gh5-00147,-170.595703125,-14.3701171875,-170.5517578125,-14.326171875,1
gh5-00148,-170.859375,-14.5458984375,-170.8154296875,-14.501953125,1
gh5-00149,-170.9912109375,-14.23828125,-170.947265625,-14.1943359375,1
gh5-00150,-170.9912109375,-14.326171875,-170.947265625,-14.2822265625,1
