cell_id,west,south,east,north,occurrence_count
gh8-00000,-169.9962615966797,-14.27999496459961,-169.99591827392578,-14.279823303222656,60506
gh8-00001,-169.99832153320312,-14.66451644897461,-169.99797821044922,-14.664344787597656,47785
gh8-00002,-170.70453643798828,-14.335956573486328,-170.70419311523438,-14.335784912109375,2531
gh8-00003,-169.60830688476562,-14.168758392333984,-169.60796356201172,-14.168586730957031,2440
gh8-00004,-169.50084686279297,-14.257678985595703,-169.50050354003906,-14.25750732421875,2375
gh8-00005,-169.67628479003906,-14.184722900390625,-169.67594146728516,-14.184551239013672,2365
gh8-00006,-169.62718963623047,-14.181289672851562,-169.62684631347656,-14.18111801147461,2353
gh8-00007,-169.41810607910156,-14.227294921875,-169.41776275634766,-14.227123260498047,2344
gh8-00008,-169.50599670410156,-14.246692657470703,-169.50565338134766,-14.24652099609375,2300
gh8-00009,-170.56411743164062,-14.285659790039062,-170.56377410888672,-14.28548812866211,2283
gh8-00010,-169.5132064819336,-14.217510223388672,-169.5128631591797,-14.217338562011719,2183
gh8-00011,-169.44076538085938,-14.212532043457031,-169.44042205810547,-14.212360382080078,2157
gh8-00012,-170.72891235351562,-14.351234436035156,-170.72856903076172,-14.351062774658203,2117
gh8-00013,-169.47509765625,-14.262657165527344,-169.4747543334961,-14.26248550415039,2104
gh8-00014,-170.57201385498047,-14.246177673339844,-170.57167053222656,-14.24600601196289,2027
gh8-00015,-169.62444305419922,-14.163780212402344,-169.6240997314453,-14.16360855102539,2020
gh8-00016,-169.64984893798828,-14.177513122558594,-169.64950561523438,-14.17734146118164,1997
gh8-00017,-170.75054168701172,-14.360332489013672,-170.7501983642578,-14.360160827636719,1957
gh8-00018,-169.6611785888672,-14.18661117553711,-169.66083526611328,-14.186439514160156,1951
gh8-00019,-170.76358795166016,-14.365997314453125,-170.76324462890625,-14.365825653076172,1937
gh8-00020,-169.67456817626953,-14.157943725585938,-169.67422485351562,-14.157772064208984,1926
gh8-00021,-170.8319091796875,-14.328231811523438,-170.8315658569336,-14.328060150146484,1879
gh8-00022,-170.69320678710938,-14.311408996582031,-170.69286346435547,-14.311237335205078,1838
gh8-00023,-170.63793182373047,-14.28445816040039,-170.63758850097656,-14.284286499023438,1831
gh8-00024,-170.6894302368164,-14.25201416015625,-170.6890869140625,-14.251842498779297,1744
gh8-00025,-170.6238555908203,-14.251842498779297,-170.6235122680664,-14.251670837402344,1737
gh8-00026,-169.49020385742188,-14.214763641357422,-169.48986053466797,-14.214591979980469,1689
gh8-00027,-169.4469451904297,-14.251327514648438,-169.44660186767578,-14.251155853271484,1685
gh8-00028,-170.83740234375,-14.316043853759766,-170.8370590209961,-14.315872192382812,1610
gh8-00029,-169.68589782714844,-14.171676635742188,-169.68555450439453,-14.171504974365234,1604
gh8-00030,-170.56171417236328,-14.267635345458984,-170.56137084960938,-14.267463684082031,1563
gh8-00031,-170.6063461303711,-14.256305694580078,-170.6060028076172,-14.256134033203125,1559
gh8-00032,-169.68212127685547,-14.173908233642578,-169.68177795410156,-14.173736572265625,1555
gh8-00033,-170.65269470214844,-14.253730773925781,-170.65235137939453,-14.253559112548828,1543
gh8-00034,-170.78075408935547,-14.291839599609375,-170.78041076660156,-14.291667938232422,1513
gh8-00035,-170.6073760986328,-14.277935028076172,-170.6070327758789,-14.277763366699219,1499
gh8-00036,-170.78899383544922,-14.342994689941406,-170.7886505126953,-14.342823028564453,1484
gh8-00037,-170.6564712524414,-14.315528869628906,-170.6561279296875,-14.315357208251953,1391
gh8-00038,-169.46823120117188,-14.214763641357422,-169.46788787841797,-14.214591979980469,1375
gh8-00039,-170.71208953857422,-14.260597229003906,-170.7117462158203,-14.260425567626953,1358
gh8-00040,-170.7282257080078,-14.283256530761719,-170.7278823852539,-14.283084869384766,1331
gh8-00041,-170.75946807861328,-14.28995132446289,-170.75912475585938,-14.289779663085938,1295
gh8-00042,-170.66951751708984,-14.278450012207031,-170.66917419433594,-14.278278350830078,1149
gh8-00043,-169.60796356201172,-14.186439514160156,-169.6076202392578,-14.186267852783203,1129
gh8-00044,-170.7931137084961,-14.291324615478516,-170.7927703857422,-14.291152954101562,1004
gh8-00045,-170.6952667236328,-14.297332763671875,-170.6949234008789,-14.297161102294922,848
gh8-00046,-169.61929321289062,-14.158458709716797,-169.61894989013672,-14.158287048339844,733
gh8-00047,-169.4692611694336,-14.239139556884766,-169.4689178466797,-14.238967895507812,654
gh8-00048,-169.4472885131836,-14.251327514648438,-169.4469451904297,-14.251155853271484,577
gh8-00049,-169.64881896972656,-14.173736572265625,-169.64847564697266,-14.173564910888672,564
gh8-00050,-169.6556854248047,-14.16463851928711,-169.65534210205078,-14.164466857910156,560
gh8-00051,-169.6560287475586,-14.16463851928711,-169.6556854248047,-14.164466857910156,526
gh8-00052,-169.41913604736328,-14.247207641601562,-169.41879272460938,-14.24703598022461,467
gh8-00053,-169.6900177001953,-14.17013168334961,-169.6896743774414,-14.169960021972656,421
gh8-00054,-170.67020416259766,-14.280166625976562,-170.66986083984375,-14.27999496459961,413
gh8-00055,-170.6842803955078,-14.273643493652344,-170.6839370727539,-14.27347183227539,350
gh8-00056,-169.68658447265625,-14.16910171508789,-169.68624114990234,-14.168930053710938,338
gh8-00057,-170.6060028076172,-14.256477355957031,-170.60565948486328,-14.256305694580078,330
gh8-00058,-169.4747543334961,-14.214420318603516,-169.4744110107422,-14.214248657226562,317
gh8-00059,-170.8202362060547,-14.332695007324219,-170.81989288330078,-14.332523345947266,308
gh8-00060,-169.66564178466797,-14.161720275878906,-169.66529846191406,-14.161548614501953,288
gh8-00061,-169.6900177001953,-14.160003662109375,-169.6896743774414,-14.159832000732422,288
gh8-00062,-169.42153930664062,-14.214420318603516,-169.42119598388672,-14.214248657226562,276
gh8-00063,-169.46582794189453,-14.212703704833984,-169.46548461914062,-14.212532043457031,271
gh8-00064,-170.83431243896484,-14.30917739868164,-170.83396911621094,-14.309005737304688,269
gh8-00065,-170.771484375,-14.290294647216797,-170.7711410522461,-14.290122985839844,268
gh8-00066,-170.75294494628906,-14.364452362060547,-170.75260162353516,-14.364280700683594,252
gh8-00067,-169.68006134033203,-14.160003662109375,-169.67971801757812,-14.159832000732422,248
gh8-00068,-170.6118392944336,-14.253215789794922,-170.6114959716797,-14.253044128417969,247
gh8-00069,-170.5575942993164,-14.277420043945312,-170.5572509765625,-14.27724838256836,246
gh8-00070,-169.63817596435547,-14.172019958496094,-169.63783264160156,-14.17184829711914,244
gh8-00071,-169.64195251464844,-14.173393249511719,-169.64160919189453,-14.173221588134766,241
gh8-00072,-169.46239471435547,-14.250297546386719,-169.46205139160156,-14.250125885009766,241
gh8-00073,-170.6719207763672,-14.32342529296875,-170.67157745361328,-14.323253631591797,240
gh8-00074,-169.68109130859375,-14.18111801147461,-169.68074798583984,-14.180946350097656,236
gh8-00075,-169.47853088378906,-14.213733673095703,-169.47818756103516,-14.21356201171875,235
gh8-00076,-169.66049194335938,-14.18661117553711,-169.66014862060547,-14.186439514160156,228
gh8-00077,-170.81645965576172,-14.301109313964844,-170.8161163330078,-14.30093765258789,228
gh8-00078,-170.71895599365234,-14.33938980102539,-170.71861267089844,-14.339218139648438,224
gh8-00079,-170.73474884033203,-14.359817504882812,-170.73440551757812,-14.35964584350586,222
gh8-00080,-169.62238311767578,-14.189014434814453,-169.62203979492188,-14.1888427734375,219
gh8-00081,-169.4696044921875,-14.21407699584961,-169.4692611694336,-14.213905334472656,217
gh8-00082,-170.5950164794922,-14.284286499023438,-170.59467315673828,-14.284114837646484,215
gh8-00083,-170.7656478881836,-14.362907409667969,-170.7653045654297,-14.362735748291016,214
gh8-00084,-170.6678009033203,-14.322052001953125,-170.6674575805664,-14.321880340576172,211
gh8-00085,-170.69732666015625,-14.32119369506836,-170.69698333740234,-14.321022033691406,208
gh8-00086,-170.57819366455078,-14.301109313964844,-170.57785034179688,-14.30093765258789,206
gh8-00087,-169.44316864013672,-14.212360382080078,-169.4428253173828,-14.212188720703125,205
gh8-00088,-170.76221466064453,-14.364452362060547,-170.76187133789062,-14.364280700683594,204
gh8-00089,-170.6894302368164,-14.247379302978516,-170.6890869140625,-14.247207641601562,203
gh8-00090,-170.8319091796875,-14.329948425292969,-170.8315658569336,-14.329776763916016,203
gh8-00091,-169.62684631347656,-14.181461334228516,-169.62650299072266,-14.181289672851562,202
gh8-00092,-169.41879272460938,-14.242572784423828,-169.41844940185547,-14.242401123046875,201
gh8-00093,-169.4205093383789,-14.25750732421875,-169.420166015625,-14.257335662841797,199
gh8-00094,-169.7003173828125,-14.200000762939453,-169.6999740600586,-14.1998291015625,199
gh8-00095,-169.47338104248047,-14.213733673095703,-169.47303771972656,-14.21356201171875,198
gh8-00096,-169.65911865234375,-14.16412353515625,-169.65877532958984,-14.163951873779297,197
gh8-00097,-170.51433563232422,-14.277591705322266,-170.5139923095703,-14.277420043945312,197
gh8-00098,-169.61620330810547,-14.191932678222656,-169.61585998535156,-14.191761016845703,196
gh8-00099,-170.66951751708984,-14.236221313476562,-170.66917419433594,-14.23604965209961,196
gh8-00100,-169.41879272460938,-14.248237609863281,-169.41844940185547,-14.248065948486328,195
gh8-00101,-169.50942993164062,-14.2437744140625,-169.50908660888672,-14.243602752685547,195
gh8-00102,-170.81096649169922,-14.294929504394531,-170.8106231689453,-14.294757843017578,195
gh8-00103,-170.74951171875,-14.360160827636719,-170.7491683959961,-14.359989166259766,195
gh8-00104,-169.41741943359375,-14.231929779052734,-169.41707611083984,-14.231758117675781,194
gh8-00105,-169.45621490478516,-14.249954223632812,-169.45587158203125,-14.24978256225586,194
gh8-00106,-170.68634033203125,-14.304027557373047,-170.68599700927734,-14.303855895996094,194
gh8-00107,-170.69698333740234,-14.320507049560547,-170.69664001464844,-14.320335388183594,194
gh8-00108,-170.83465576171875,-14.326858520507812,-170.83431243896484,-14.32668685913086,194
gh8-00109,-169.44660186767578,-14.25149917602539,-169.44625854492188,-14.251327514648438,193
gh8-00110,-170.80547332763672,-14.291839599609375,-170.8051300048828,-14.291667938232422,193
gh8-00111,-169.44316864013672,-14.254589080810547,-169.4428253173828,-14.254417419433594,192
gh8-00112,-169.62615966796875,-14.165153503417969,-169.62581634521484,-14.164981842041016,192
gh8-00113,-170.80169677734375,-14.291152954101562,-170.80135345458984,-14.29098129272461,191
gh8-00114,-169.6512222290039,-14.164466857910156,-169.65087890625,-14.164295196533203,190
gh8-00115,-170.55313110351562,-14.275703430175781,-170.55278778076172,-14.275531768798828,188
gh8-00116,-170.76290130615234,-14.363594055175781,-170.76255798339844,-14.363422393798828,188
gh8-00117,-170.62763214111328,-14.248237609863281,-170.62728881835938,-14.248065948486328,186
gh8-00118,-170.63552856445312,-14.283256530761719,-170.63518524169922,-14.283084869384766,186
gh8-00119,-169.4699478149414,-14.21407699584961,-169.4696044921875,-14.213905334472656,185
gh8-00120,-169.63268280029297,-14.164466857910156,-169.63233947753906,-14.164295196533203,185
gh8-00121,-169.68658447265625,-14.168243408203125,-169.68624114990234,-14.168071746826172,185
gh8-00122,-170.69320678710938,-14.311065673828125,-170.69286346435547,-14.310894012451172,185
gh8-00123,-170.7872772216797,-14.359817504882812,-170.78693389892578,-14.35964584350586,185
gh8-00124,-170.55828094482422,-14.259223937988281,-170.5579376220703,-14.259052276611328,184
gh8-00125,-170.57132720947266,-14.299736022949219,-170.57098388671875,-14.299564361572266,184
gh8-00126,-170.78933715820312,-14.347972869873047,-170.78899383544922,-14.347801208496094,184
gh8-00127,-169.41673278808594,-14.218196868896484,-169.41638946533203,-14.218025207519531,183
gh8-00128,-170.56617736816406,-14.273300170898438,-170.56583404541016,-14.273128509521484,183
gh8-00129,-170.56411743164062,-14.28548812866211,-170.56377410888672,-14.285316467285156,183
gh8-00130,-170.75157165527344,-14.361190795898438,-170.75122833251953,-14.361019134521484,183
gh8-00131,-170.69835662841797,-14.253215789794922,-170.69801330566406,-14.253044128417969,182
gh8-00132,-169.48436737060547,-14.214935302734375,-169.48402404785156,-14.214763641357422,181
gh8-00133,-169.6460723876953,-14.164981842041016,-169.6457290649414,-14.164810180664062,181
gh8-00134,-170.71998596191406,-14.346084594726562,-170.71964263916016,-14.34591293334961,181
gh8-00135,-169.61997985839844,-14.15811538696289,-169.61963653564453,-14.157943725585938,180
gh8-00136,-169.67422485351562,-14.187126159667969,-169.67388153076172,-14.186954498291016,180
gh8-00137,-169.48711395263672,-14.276390075683594,-169.4867706298828,-14.27621841430664,180
gh8-00138,-170.77560424804688,-14.367027282714844,-170.77526092529297,-14.36685562133789,180
gh8-00139,-169.50942993164062,-14.244117736816406,-169.50908660888672,-14.243946075439453,179
gh8-00140,-170.58712005615234,-14.250469207763672,-170.58677673339844,-14.250297546386719,179
gh8-00141,-170.64273834228516,-14.25149917602539,-170.64239501953125,-14.251327514648438,179
gh8-00142,-170.71380615234375,-14.262657165527344,-170.71346282958984,-14.26248550415039,179
gh8-00143,-169.47200775146484,-14.213218688964844,-169.47166442871094,-14.21304702758789,178
gh8-00144,-169.60796356201172,-14.161720275878906,-169.6076202392578,-14.161548614501953,178
gh8-00145,-169.63645935058594,-14.17236328125,-169.63611602783203,-14.172191619873047,178
gh8-00146,-169.66392517089844,-14.162750244140625,-169.66358184814453,-14.162578582763672,177
gh8-00147,-169.48848724365234,-14.2767333984375,-169.48814392089844,-14.276561737060547,177
gh8-00148,-170.59879302978516,-14.283428192138672,-170.59844970703125,-14.283256530761719,177
gh8-00149,-169.50702667236328,-14.245834350585938,-169.50668334960938,-14.245662689208984,176
gh8-00150,-169.50050354003906,-14.259910583496094,-169.50016021728516,-14.25973892211914,176
gh8-00151,-170.5792236328125,-14.246349334716797,-170.5788803100586,-14.246177673339844,176
gh8-00152,-170.62419891357422,-14.251842498779297,-170.6238555908203,-14.251670837402344,176
gh8-00153,-170.66917419433594,-14.321880340576172,-170.66883087158203,-14.321708679199219,176
gh8-00154,-170.72341918945312,-14.271926879882812,-170.72307586669922,-14.27175521850586,176
gh8-00155,-170.80272674560547,-14.292526245117188,-170.80238342285156,-14.292354583740234,176
gh8-00156,-170.73062896728516,-14.355182647705078,-170.73028564453125,-14.355010986328125,176
gh8-00157,-169.63680267333984,-14.161033630371094,-169.63645935058594,-14.16086196899414,175
gh8-00158,-170.63621520996094,-14.281539916992188,-170.63587188720703,-14.281368255615234,175
gh8-00159,-170.76770782470703,-14.28720474243164,-170.76736450195312,-14.287033081054688,174
gh8-00160,-170.80341339111328,-14.334754943847656,-170.80307006835938,-14.334583282470703,174
gh8-00161,-170.57476043701172,-14.245662689208984,-170.5744171142578,-14.245491027832031,173
